,lat,lon,GEOID,restaurant_count,school_count,park_count,bus_station_count,supermarket_count,pub_count,parkwide_count,restaurantwide_count,intersection_count,streets_per_node_avg,circuity_avg,street_length_avg
296,47.62452494150338,-122.32591632442626,53033007404,10,7,10,5,2,6,10,10,64,3.25,1.0348200851723384,40.26314285714285
297,47.52312430321652,-122.27817073560205,53033011700,10,5,1,6,1,0,10,10,109,2.783216783216784,1.0573038145681637,33.69606417112299
298,47.69694421349644,-122.3612824606676,53033001702,10,0,3,1,2,8,10,10,51,2.7777777777777777,1.0327138134459406,42.86024050632911
299,47.545979074263066,-122.35884792355311,53033010800,1,2,9,4,0,0,10,1,34,2.5686274509803924,1.0282218723174588,42.03461403508772
300,47.70584857311038,-122.39955408665504,53033990100,0,0,1,0,0,0,10,0,0,0.0,0.0,0.0
301,47.70659655312206,-122.30592890623932,53033001100,0,5,4,0,1,0,10,10,50,2.75,1.0345329214843368,51.56151898734178
302,47.58588667347333,-122.41684121582566,53033990100,0,0,0,0,0,2,10,10,0,0.0,0.0,0.0
303,47.640598932493326,-122.430785841958,53033990100,0,0,0,0,0,0,8,0,0,0.0,0.0,0.0
304,47.57395619105785,-122.23637868123032,53033024500,0,1,4,0,0,0,10,8,31,2.369565217391304,1.068126213770598,66.80970212765959
305,47.63711585818493,-122.26336162541084,53033006300,0,0,0,0,0,0,10,6,0,0.0,0.0,0.0
306,47.62878335758508,-122.35862996023232,53033007001,0,4,10,0,4,8,10,10,59,2.8783783783783785,1.02767950361587,60.98569230769232
307,47.5973779265812,-122.35558384584496,53033990100,0,0,0,0,0,0,0,10,0,0.0,0.0,0.0
308,47.56385762875131,-122.411203326851,53033009701,0,0,5,0,0,0,0,1,1,2.5,1.177833956658986,24.453
309,47.518224258431125,-122.32856117017867,53033026400,0,1,3,5,0,0,0,8,31,2.710526315789474,1.3101410488064502,74.96430612244899
310,47.54982051972916,-122.2772193141426,53033010301,0,6,1,7,1,2,0,10,82,2.880434782608696,1.061295729553068,40.672474999999984
311,47.598381517182304,-122.35967848621058,53033990100,0,0,0,3,0,0,0,0,0,0.0,0.0,0.0
312,47.58293137361571,-122.38168819681462,53033009600,0,2,6,3,3,3,0,10,129,3.0328947368421053,1.027730294677804,26.920421052631568
313,47.551305702727774,-122.42873930288602,53033990100,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0
314,47.57677119888667,-122.43286730373852,53033990100,0,0,0,2,0,0,0,1,0,0.0,0.0,0.0
315,47.55639305577425,-122.30277154887187,53033010401,2,0,4,4,1,1,0,10,108,2.948148148148148,1.1590648626663411,47.46825543478264
316,47.67239685366496,-122.41021767971633,53033005700,5,0,1,0,0,0,10,7,15,2.0,1.0290639776604242,15.108758620689658
317,47.69736285299988,-122.26135981458827,53033002200,0,0,1,6,0,0,10,1,0,0.0,0.0,0.0
318,47.57673122002024,-122.31233188266025,53033010002,10,0,5,6,3,1,10,10,371,3.6339522546419096,1.0042032742025293,24.24265023112479
319,47.54985802859177,-122.4338816191613,53033990100,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0
320,47.65815653289887,-122.373453095467,53033005901,10,0,2,1,4,10,10,10,23,2.3529411764705883,1.5439269767634396,58.776
321,47.544634417063016,-122.43127415242802,53033990100,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0
322,47.54226533612008,-122.3883213281414,53033010602,5,0,0,4,1,0,10,5,66,2.871794871794872,1.0821526453820576,57.271774509803954
323,47.55794349070906,-122.30339547982118,53033010401,2,0,0,3,1,0,10,10,152,3.165714285714286,1.1926489593776477,42.50667816091956
324,47.54414462100087,-122.32104857819937,53033010900,10,0,0,4,1,0,10,10,70,3.0821917808219177,1.1202183738956064,48.87037999999998
325,47.544782778078456,-122.31802747078645,53033010900,10,0,0,4,1,0,10,10,65,2.7804878048780486,1.048943306214586,41.482545454545466
326,47.65815360759603,-122.3974646116132,53033005700,3,1,0,1,1,0,10,10,67,2.555555555555556,1.0184935106444015,40.53533628318583
327,47.6991719831556,-122.35040326437031,53033001701,10,2,0,1,1,0,10,10,82,3.302325581395349,1.0135878856851723,39.20295161290325
328,47.59444294853096,-122.40647265252636,53033990100,0,0,0,3,0,0,10,0,0,0.0,0.0,0.0
329,47.51078518726109,-122.4345272955423,53033990100,0,0,0,2,0,0,1,0,0,0.0,0.0,0.0
330,47.68376645501943,-122.3385046471046,53033004600,10,3,0,1,1,0,10,10,73,2.929411764705882,1.0297392710001725,44.3150363636364
331,47.53080838190317,-122.24800868991518,53033024602,0,0,0,7,0,0,10,0,0,0.0,0.0,0.0
332,47.62784350414765,-122.4277600269932,53033990100,0,0,0,1,0,0,6,0,0,0.0,0.0,0.0
333,47.63367463382102,-122.36255129984424,53033006900,10,4,10,3,3,0,10,10,73,3.061728395061728,1.0111003132988814,46.04259633027524
334,47.5933978311043,-122.24198652967232,53033024302,8,0,6,9,0,0,10,10,58,2.173076923076923,1.130377741235234,36.07814953271027
335,47.62743978791521,-122.3650517562169,53033006900,10,1,10,3,2,6,10,10,107,2.7202797202797204,1.073172027663487,36.81901129943503
