state,county,tract,block group,NAME,B01001_001E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E
53,033,011900,4,"Block Group 4, Census Tract 119, King County, Washington",1908,64,0,24,32,0,0,17,0,32,19,0,0
53,033,011900,3,"Block Group 3, Census Tract 119, King County, Washington",1260,21,21,0,42,0,0,39,0,0,17,0,13
53,033,011900,5,"Block Group 5, Census Tract 119, King County, Washington",880,21,18,28,14,0,0,18,8,20,74,0,16
53,033,020401,1,"Block Group 1, Census Tract 204.01, King County, Washington",1660,36,31,17,0,0,0,35,53,48,0,0,0
53,033,020401,3,"Block Group 3, Census Tract 204.01, King County, Washington",923,28,30,11,10,0,2,21,18,11,1,10,3
53,033,031302,4,"Block Group 4, Census Tract 313.02, King County, Washington",1118,0,9,0,0,0,29,0,21,29,0,0,9
53,033,001600,1,"Block Group 1, Census Tract 16, King County, Washington",1766,8,46,74,6,28,0,14,52,34,17,14,0
53,033,001600,2,"Block Group 2, Census Tract 16, King County, Washington",1448,17,13,51,7,6,7,23,15,37,13,13,76
53,033,023900,2,"Block Group 2, Census Tract 239, King County, Washington",1666,30,38,15,14,45,0,15,16,29,34,13,0
53,033,023900,1,"Block Group 1, Census Tract 239, King County, Washington",2048,0,0,59,140,17,0,0,54,70,78,0,15
53,033,027900,2,"Block Group 2, Census Tract 279, King County, Washington",1671,61,0,47,16,18,0,16,0,36,0,0,0
53,033,027900,3,"Block Group 3, Census Tract 279, King County, Washington",763,0,0,16,14,16,14,0,16,34,0,0,14
53,033,027900,6,"Block Group 6, Census Tract 279, King County, Washington",1675,0,33,0,0,28,15,14,85,0,0,30,39
53,033,003200,2,"Block Group 2, Census Tract 32, King County, Washington",1435,0,13,20,21,0,0,23,40,0,11,0,0
53,033,003200,5,"Block Group 5, Census Tract 32, King County, Washington",848,0,13,0,0,0,0,0,0,0,0,21,0
53,033,003200,3,"Block Group 3, Census Tract 32, King County, Washington",1475,35,85,26,128,0,24,20,37,14,0,20,0
53,033,003200,7,"Block Group 7, Census Tract 32, King County, Washington",1076,0,20,0,19,0,0,20,0,0,0,0,33
53,033,003200,4,"Block Group 4, Census Tract 32, King County, Washington",1118,21,48,11,19,11,0,36,11,68,21,54,0
53,033,005600,1,"Block Group 1, Census Tract 56, King County, Washington",1740,15,36,16,36,16,16,15,32,35,15,18,19
53,033,005600,5,"Block Group 5, Census Tract 56, King County, Washington",1586,0,17,37,89,0,0,41,49,34,16,0,36
53,033,005200,1,"Block Group 1, Census Tract 52, King County, Washington",1275,0,0,0,0,0,0,0,0,0,0,0,0
53,033,005200,5,"Block Group 5, Census Tract 52, King County, Washington",1537,0,15,0,35,0,0,0,0,42,0,59,0
53,033,005200,2,"Block Group 2, Census Tract 52, King County, Washington",1579,0,0,0,0,0,0,0,0,0,6,0,49
53,033,005700,2,"Block Group 2, Census Tract 57, King County, Washington",1124,15,20,0,17,0,0,16,0,37,31,35,0
53,033,005700,5,"Block Group 5, Census Tract 57, King County, Washington",887,18,0,37,0,0,0,14,0,18,18,0,0
53,033,005700,6,"Block Group 6, Census Tract 57, King County, Washington",1792,17,20,40,22,0,0,0,19,82,0,0,0
53,033,005700,1,"Block Group 1, Census Tract 57, King County, Washington",620,0,0,33,0,0,0,0,0,34,0,0,0
